iter	AUC	Logloss
0	0.7610132677	0.6525493452
1	0.7894816009	0.6188329988
2	0.8152724239	0.5850360524
3	0.818773668	0.5585740437
4	0.8213159524	0.5371542781
5	0.8243961395	0.5203242551
6	0.8258448946	0.5057738229
7	0.8262959602	0.49647553
8	0.8291758404	0.4848109378
9	0.8307682613	0.4755765579
10	0.8317832057	0.469660758
11	0.8338887723	0.4628359851
12	0.8352903578	0.4567859828
13	0.8361169987	0.4519439618
14	0.8372360352	0.4481022523
15	0.838301619	0.4445320854
16	0.8383599481	0.441221248
17	0.8396746026	0.4385599781
18	0.8409654379	0.4358438132
19	0.8418007063	0.4337316902
20	0.8422091973	0.4320379813
21	0.8428257786	0.429696763
22	0.8434591459	0.4280758332
23	0.8438860171	0.4263510788
24	0.844627884	0.4240352338
25	0.845184167	0.4227091847
26	0.8456269802	0.4215127209
27	0.8457742095	0.4203941917
28	0.8459974917	0.4196378487
29	0.8461958292	0.4186155585
30	0.8465580883	0.4174947434
31	0.846717321	0.4169414435
32	0.8472502536	0.4158330545
33	0.84727698	0.4152422368
34	0.8474826321	0.4148238611
35	0.8479448571	0.4140768349
36	0.848312649	0.413642661
37	0.8483984546	0.4131244276
38	0.8486249252	0.4126366804
39	0.8489363574	0.4121495141
40	0.8493080879	0.4117837693
41	0.8496974485	0.4112989446
42	0.8498614638	0.4109603154
43	0.8499947204	0.4106498185
44	0.8501708329	0.4103115885
45	0.8504858286	0.4097812297
46	0.8506382156	0.4093461343
47	0.8506676614	0.4091605811
48	0.8508456495	0.4088988911
49	0.8511078489	0.4086763388
50	0.8514317534	0.4081687985
51	0.8515301251	0.4080903679
52	0.8518778488	0.4076307661
53	0.8520703722	0.4071083824
54	0.8522001591	0.4069535474
55	0.8523033134	0.406763714
56	0.852418096	0.4065576417
57	0.8525077464	0.4064265149
58	0.8528443107	0.4059753247
59	0.8530493064	0.4057344433
60	0.8531904403	0.4055235494
61	0.8533544556	0.4053158009
62	0.8535540122	0.4051143897
63	0.8536322219	0.4048617622
64	0.8537415655	0.4046526485
65	0.8537590079	0.4044704971
66	0.8538846686	0.4042499162
67	0.8541397411	0.4038692784
68	0.8541568084	0.4038066628
