iter	Passed	Remaining
0	5	1707
1	10	1591
2	16	1648
3	22	1630
4	27	1614
5	32	1588
6	37	1558
7	41	1528
8	47	1524
9	52	1529
10	57	1503
11	62	1493
12	67	1481
13	71	1460
14	75	1441
15	79	1418
16	84	1401
17	88	1389
18	93	1382
19	97	1361
20	101	1355
21	106	1341
22	110	1328
23	114	1317
24	118	1305
25	123	1298
26	127	1286
27	131	1276
28	135	1265
29	140	1262
30	145	1258
31	149	1249
32	154	1247
33	158	1242
34	163	1236
35	167	1230
36	172	1224
37	176	1216
38	180	1207
39	185	1202
40	189	1199
41	194	1194
42	199	1194
43	203	1186
44	208	1178
45	212	1175
46	217	1169
47	221	1165
48	225	1155
49	229	1149
50	234	1146
51	240	1145
52	244	1140
53	249	1137
54	254	1132
55	258	1128
56	263	1122
57	268	1120
58	273	1116
59	277	1109
60	281	1101
61	285	1096
62	290	1092
63	294	1087
64	299	1084
65	305	1082
66	309	1077
67	314	1074
68	319	1069
69	323	1062
70	326	1052
71	330	1046
72	334	1040
73	338	1035
74	343	1030
75	347	1025
76	352	1021
77	357	1017
78	362	1012
79	365	1006
80	369	1000
81	373	992
82	378	988
83	382	984
84	387	979
85	390	972
86	394	965
87	398	960
88	403	956
89	407	950
90	411	945
91	415	940
92	420	935
93	424	929
94	428	923
95	432	919
96	437	914
97	441	910
98	446	906
99	451	902
100	456	898
101	460	893
102	464	888
103	468	883
104	472	877
105	476	871
106	480	866
107	484	861
108	488	855
109	492	850
110	496	845
111	501	841
112	505	835
113	509	831
114	513	826
115	518	822
116	522	817
117	526	812
118	532	809
119	536	805
120	541	801
121	546	797
122	550	792
123	555	788
124	560	784
125	564	779
126	569	775
127	574	771
128	579	767
129	584	763
130	588	759
131	593	755
132	598	751
133	603	747
134	608	743
135	612	738
136	617	734
137	622	730
138	627	726
139	632	722
140	637	718
141	642	714
142	646	710
143	652	706
144	656	702
145	660	697
146	666	693
147	670	688
148	675	684
149	680	680
150	684	675
151	689	671
152	694	667
153	699	663
154	705	659
155	709	655
156	714	651
157	719	647
158	726	644
159	732	640
160	737	636
161	742	632
162	747	628
163	753	624
164	758	620
165	763	616
166	768	612
167	773	608
168	778	603
169	784	599
170	789	595
171	794	590
172	798	586
173	804	582
174	809	577
175	814	573
176	819	569
177	824	564
178	829	560
179	834	556
180	840	552
181	845	548
182	850	543
183	855	539
184	861	535
185	865	530
186	870	526
187	876	521
188	881	517
189	886	513
190	891	508
191	896	504
192	901	499
193	906	495
194	911	490
195	915	485
196	920	481
197	925	476
198	931	472
199	936	468
200	940	463
201	945	458
202	950	454
203	955	449
204	959	444
205	964	440
206	969	435
207	975	431
208	980	426
209	986	422
210	991	418
211	996	413
212	1008	411
213	1042	418
214	1052	416
215	1064	413
216	1077	412
217	1082	407
218	1087	402
219	1092	397
220	1100	393
221	1107	389
222	1113	384
223	1118	379
224	1125	375
225	1130	370
226	1135	365
227	1141	360
228	1145	355
229	1150	350
230	1155	345
231	1160	340
232	1164	334
233	1169	329
234	1174	324
235	1180	320
236	1184	314
237	1190	310
238	1195	305
239	1199	299
240	1204	294
241	1210	290
242	1215	285
243	1220	280
244	1225	275
245	1230	270
246	1234	264
247	1240	260
248	1245	255
249	1249	249
250	1254	244
251	1260	240
252	1265	235
253	1270	230
254	1274	224
255	1279	219
256	1284	214
257	1289	209
258	1294	204
259	1299	199
260	1304	194
261	1309	189
262	1315	185
263	1319	179
264	1324	174
265	1330	170
266	1335	165
267	1340	160
268	1345	155
269	1349	149
270	1354	144
271	1358	139
272	1363	134
273	1367	129
274	1372	124
275	1377	119
276	1382	114
277	1387	109
278	1392	104
279	1397	99
280	1401	94
281	1406	89
282	1411	84
283	1416	79
284	1421	74
285	1426	69
286	1431	64
287	1436	59
288	1440	54
289	1444	49
290	1449	44
291	1454	39
292	1459	34
293	1464	29
294	1469	24
295	1473	19
296	1478	14
297	1483	9
298	1488	4
299	1493	0
